field,system,layer,train_n,validation_n,test_n,test_balanced_accuracy,test_macro_f1,validation_balanced_accuracy,validation_macro_f1
proposer,base,0,1226,166,346,0.5,0.4373983739837398,0.5,0.44666666666666666
proposer,base,1,1226,166,346,0.6917877661372085,0.6561917774189542,0.707089552238806,0.6229051476576228
proposer,base,2,1226,166,346,0.6964949548592672,0.6829171710771946,0.6438899253731343,0.5940217391304348
proposer,base,3,1226,166,346,0.7734755950369334,0.7353053678439373,0.679804104477612,0.663034188034188
proposer,base,4,1226,166,346,0.7409597837107131,0.6931717410582323,0.6581156716417911,0.6224899598393574
proposer,base,5,1226,166,346,0.7651474919132912,0.738094454500576,0.5949160447761195,0.5826524198617222
proposer,base,6,1226,166,346,0.8059672669338097,0.7688860159448394,0.6380597014925373,0.6145770240258429
proposer,base,7,1226,166,346,0.7633128952831555,0.7455508162965142,0.664179104477612,0.6506394689978954
proposer,base,8,1226,166,346,0.7679235262878386,0.7371961805555556,0.6909981343283582,0.6798368876398303
proposer,base,9,1226,166,346,0.8050258291893979,0.7618467729125854,0.6849347014925373,0.6489105307166396
proposer,base,10,1226,166,346,0.8216820354366823,0.7539339910852907,0.773554104477612,0.7318796688875429
proposer,base,11,1226,166,346,0.8671607203205716,0.7943526045916569,0.6693097014925373,0.6376984126984127
proposer,base,12,1226,166,346,0.8950417612127649,0.8393279297534617,0.755830223880597,0.7620071684587814
proposer,base,13,1226,166,346,0.8941003234683532,0.8311441535921584,0.7609608208955223,0.7402190923317684
proposer,base,14,1226,166,346,0.9331337807174238,0.8994186046511627,0.8145988805970149,0.8036609405801183
proposer,base,15,1226,166,346,0.9145705595519722,0.8805394990366089,0.8971548507462687,0.846422697368421
proposer,base,16,1226,166,346,0.9591319461207937,0.9329113202167094,0.9246735074626866,0.8588082253464753
proposer,base,17,1226,166,346,0.9507797035678076,0.9250185343598517,0.9239738805970149,0.878273622459669
proposer,base,18,1226,166,346,0.9674841886737797,0.9408041060735671,0.9195429104477613,0.8913849509269357
proposer,base,19,1226,166,346,0.9777193067155893,0.9711649502946604,0.9507929104477613,0.9113247863247864
