dataset,system,family,label,support,supporting_clusters,predicted,tp,recall,precision,f1
opentom,base_direct,location_cg_fo,0,36,27,50,36,1.0,0.72,0.8372093023255814
opentom,base_direct,location_cg_fo,1,18,18,4,4,0.2222222222222222,1.0,0.36363636363636365
opentom,base_direct,location_cg_so,0,18,15,36,12,0.6666666666666666,0.3333333333333333,0.4444444444444444
opentom,base_direct,location_cg_so,1,36,24,18,12,0.3333333333333333,0.6666666666666666,0.4444444444444444
opentom,base_direct,location_fg_fo,1,45,27,14,14,0.3111111111111111,1.0,0.4745762711864407
opentom,base_direct,location_fg_fo,2,63,27,75,58,0.9206349206349206,0.7733333333333333,0.8405797101449275
opentom,base_direct,location_fg_so,1,36,24,4,3,0.08333333333333333,0.75,0.15
opentom,base_direct,location_fg_so,2,18,15,41,14,0.7777777777777778,0.34146341463414637,0.4745762711864407
opentom,base_direct,multihop_fo_fullness,1,35,27,61,34,0.9714285714285714,0.5573770491803278,0.7083333333333334
opentom,base_direct,multihop_fo_fullness,2,40,27,44,33,0.825,0.75,0.7857142857142857
opentom,base_direct,multihop_fo_fullness,3,33,19,3,2,0.06060606060606061,0.6666666666666666,0.1111111111111111
opentom,base_direct,multihop_fo_accessibility,1,13,12,19,11,0.8461538461538461,0.5789473684210527,0.6875
opentom,base_direct,multihop_fo_accessibility,2,20,13,35,19,0.95,0.5428571428571428,0.6909090909090909
opentom,base_direct,multihop_fo_accessibility,3,21,19,0,0,0.0,0.0,0.0
opentom,base_direct,multihop_so_fullness,1,23,17,51,21,0.9130434782608695,0.4117647058823529,0.5675675675675675
opentom,base_direct,multihop_so_fullness,2,23,16,55,19,0.8260869565217391,0.34545454545454546,0.48717948717948717
opentom,base_direct,multihop_so_fullness,3,62,22,2,1,0.016129032258064516,0.5,0.03125
opentom,base_direct,multihop_so_accessibility,1,11,10,18,7,0.6363636363636364,0.3888888888888889,0.4827586206896552
opentom,base_direct,multihop_so_accessibility,2,22,15,36,21,0.9545454545454546,0.5833333333333334,0.7241379310344828
opentom,base_direct,multihop_so_accessibility,3,21,19,0,0,0.0,0.0,0.0
opentom,base_direct,attitude,1,10,10,7,4,0.4,0.5714285714285714,0.47058823529411764
opentom,base_direct,attitude,2,8,8,19,7,0.875,0.3684210526315789,0.5185185185185185
opentom,base_direct,attitude,3,9,9,1,0,0.0,0.0,0.0
opentom,answer_only_direct,location_cg_fo,0,36,27,53,36,1.0,0.6792452830188679,0.8089887640449438
opentom,answer_only_direct,location_cg_fo,1,18,18,1,1,0.05555555555555555,1.0,0.10526315789473684
opentom,answer_only_direct,location_cg_so,0,18,15,43,15,0.8333333333333334,0.3488372093023256,0.4918032786885246
opentom,answer_only_direct,location_cg_so,1,36,24,11,8,0.2222222222222222,0.7272727272727273,0.3404255319148936
