dataset,system,family,questions,clusters,accuracy,accuracy_low,accuracy_high,f1,f1_low,f1_high
opentom,base_direct,location_cg_fo,54,27,0.7407407407407407,0.6481481481481481,0.8333333333333334,0.6004228329809725,0.4477272727272727,0.7467166979362101
opentom,base_direct,location_cg_so,54,27,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.32496981216457965,0.5555555555555556
opentom,base_direct,location_fg_fo,108,27,0.6666666666666666,0.5833333333333334,0.7407407407407407,0.6575779906656841,0.5774849848351823,0.7262409721426115
opentom,base_direct,location_fg_so,54,27,0.3148148148148148,0.18518518518518517,0.4444444444444444,0.31228813559322033,0.20182724252491696,0.41404358353510895
opentom,base_direct,multihop_fo_fullness,108,27,0.6388888888888888,0.5648148148148148,0.7222222222222222,0.5350529100529101,0.47283110775174264,0.5989479224155211
opentom,base_direct,multihop_fo_accessibility,54,27,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.459469696969697,0.38755831339712915,0.5157318030843318
opentom,base_direct,multihop_so_fullness,108,27,0.37962962962962965,0.25,0.5092592592592593,0.36199901824901826,0.26383452625557885,0.452439101095864
opentom,base_direct,multihop_so_accessibility,54,27,0.5185185185185185,0.3888888888888889,0.6481481481481481,0.40229885057471265,0.31342256299883414,0.4755044591456394
opentom,base_direct,attitude,27,27,0.4074074074074074,0.2222222222222222,0.5925925925925926,0.3297022512708787,0.18526315789473682,0.45278079710144925
opentom,answer_only_direct,location_cg_fo,54,27,0.6851851851851852,0.5925925925925926,0.7777777777777778,0.4571259609698403,0.3793103448275862,0.5848610289769367
opentom,answer_only_direct,location_cg_so,54,27,0.42592592592592593,0.3148148148148148,0.5370370370370371,0.41611440530170907,0.3088896575579384,0.513894324853229
opentom,answer_only_direct,location_fg_fo,108,27,0.6944444444444444,0.6203703703703703,0.7685185185185185,0.6975512126206733,0.6243105748241572,0.767156862745098
opentom,answer_only_direct,location_fg_so,54,27,0.2777777777777778,0.14814814814814814,0.4074074074074074,0.27033898305084747,0.15846242343091083,0.3724134199134198
opentom,answer_only_direct,multihop_fo_fullness,108,27,0.6388888888888888,0.5648148148148148,0.7129629629629629,0.5350529100529101,0.4756868970916959,0.5941989699159447
opentom,answer_only_direct,multihop_fo_accessibility,54,27,0.5370370370370371,0.42592592592592593,0.6481481481481481,0.4508448540706606,0.37802359392211493,0.5132739805138236
opentom,answer_only_direct,multihop_so_fullness,108,27,0.37962962962962965,0.25925925925925924,0.5,0.3572257283100657,0.2631189690963815,0.4397403778597967
