dataset,a,b,primary_metric,p_cluster_swap,permutation_method,permutations,nonzero_clusters,a_only_correct,b_only_correct,accuracy_difference,accuracy_low,accuracy_high,mean_family_accuracy_difference,mean_family_accuracy_low,mean_family_accuracy_high,mean_family_f1_difference,mean_family_f1_low,mean_family_f1_high,p_holm_all_ten_accuracy_contrasts
rectom,answer_only_direct,base_direct,mean_family_accuracy,1.999960000799984e-05,monte_carlo,50000,57,149,13,0.2190016103059581,0.17999840764331204,0.2574763330703675,0.21332107199159223,0.17463175793142624,0.25234146215304293,0.19445977879350984,0.13020922740123228,0.25804391869539406,0.0001999960000799984
rectom,subjectesis_direct,base_direct,mean_family_accuracy,1.999960000799984e-05,monte_carlo,50000,55,144,10,0.215780998389694,0.1766612641815235,0.25399490265413527,0.21155018392012603,0.17321582257818535,0.24986768849035645,0.18419725450016977,0.12366958652661571,0.2567516858577303,0.0001999960000799984
rectom,subjectesis_direct,answer_only_direct,mean_family_accuracy,0.8522796630859375,exact,262144,18,12,14,-0.0032206119162641045,-0.019770991327079383,0.012968612620628909,-0.0017708880714661923,-0.017840563266485247,0.01423523993736758,-0.01026252429334007,-0.038514068671755504,0.016018110156192773,1.0
rectom,subjectesis_no_review,subjectesis_direct,mean_family_accuracy,0.5625,exact,64,6,4,5,-0.0016103059581320522,-0.011290322580645107,0.007874637708201142,-0.002564372044140839,-0.012417787672098104,0.006519193829333096,-0.0024006280283910275,-0.012157607043417165,0.007317138322708581,1.0
rectom,subjectesis_review,subjectesis_no_review,mean_family_accuracy,1.0,exact,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
opentom,answer_only_direct,base_direct,accuracy,0.374267578125,exact,8192,13,14,20,-0.009661835748792313,-0.025764895330112725,0.006441223832528209,-0.013374485596707841,-0.03189300411522633,0.005144032921810706,-0.025994063637986287,-0.05597015932026443,0.002287048557334984,1.0
opentom,subjectesis_direct,base_direct,accuracy,0.17041015625,exact,32768,15,12,22,-0.016103059581320522,-0.037037037037037035,0.0032206119162641045,-0.02160493827160509,-0.04629629629629639,0.002057613168724437,-0.02978627596839678,-0.055015514710879176,-0.00526957369917163,1.0
opentom,subjectesis_direct,answer_only_direct,accuracy,0.607177734375,exact,32768,15,12,16,-0.006441223832528209,-0.024154589371980728,0.01127214170692431,-0.008230452674897248,-0.03189300411522644,0.015432098765432167,-0.0037922123304104938,-0.02601399444937861,0.020091456762482862,1.0
opentom,subjectesis_no_review,subjectesis_direct,accuracy,0.17822265625,exact,131072,17,23,14,0.01449275362318847,-0.0032206119162641045,0.032206119162640934,0.018518518518518656,0.0,0.03706275720164587,0.02399377550949444,0.003285006623976114,0.044569140745407264,1.0
opentom,subjectesis_review,subjectesis_no_review,accuracy,0.292724609375,exact,8192,13,9,15,-0.009661835748792313,-0.024154589371980673,0.004830917874396157,-0.0092592592592593,-0.02160493827160498,0.0030864197530864335,-0.008616965647486707,-0.024501759730036425,0.007636237501234947,1.0
